ItemId,Term,IllustrationFilename
1881,spinner,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001881-spinner-vfinal-10-08-15-1614.svg
1881,arrow,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001881-arrow-vfinal-10-08-15-1610.svg
1881,spun,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001881-spun-vfinal-10-08-15-1556.svg
1844,store,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001844-store-vfinal-10-22-15-1434.svg
1844,purchasing,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001844-purchasing-vfinal-10-22-15-1347.svg
1844,clothes,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001844-clothes-vfinal-10-22-15-1335.svg
1844,packs of gum,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001844-packsofgum-vfinal-10-22-15-1343.svg
1844,pack of gum,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001844-packofgum-vfinal-10-22-15-1339.svg
1873,spend,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001873-spend-buy-vfinal-10-26-15-1655.svg
1873,school supplies,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001873-schoolsupplies-vfinal-10-27-15-1233.svg
1873,price,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001873-price-vfinal-10-27-15-1236.svg
1873,buy,C:\Users\crabtres\Downloads\Sample Illustrations\Sample Illustrations\001873-spend-buy-vfinal-10-26-15-1655.svg
